Type,Start_Year,End_Year,Name,Desc,Evaluation,WS_19_20,SoSe_2020,WS_20_21,SoSe_2021,WS_21_22,SoSe_2022,WS_22_23,SoSe_2023,WS_23_24,SoSe24,WS_24_25,SoSe_25,WS_25_26
Seminar,2024-,2026,Sociolinguistics,"English Studies Bachelor, TU Braunschweig","Durchschnittliche Evaluation: 1,2",,,,,,,,,,,1,,1.5
Seminar,2024-,2026,First Language Acquisition,"English Studies Bachelor, TU Braunschweig","Durchschnittliche Evaluation: 1,1",,,,,,,,,,1.1,,1.2,
Seminar,2022-,2026,Introduction to Linguistics,"English Studies Bachelor, TU Braunschweig","Durchschnittliche Evaluation: 1,3",,,,,,1.6,1 and 1.2,1 and 1.1,1.1,1.7,,1.9,1.4
Seminar,2023-,2025,Phonetics and Phonology,"English Studies Bachelor, TU Braunschweig","Durchschnittliche Evaluation: 1,25",,,,,,,,,1.1,,1.4,,
Seminar,2022-,2024,Listening in the L1 and L2,"English Studies Bachelor, TU Braunschweig","Durchschnittliche Evaluation: 1,2",,,,,,,1.3,,1,,,,
Seminar,2021,-2022,Wortsegmentierung: Erkenntnisse aus der Psycho- und Neurolinguistik,"Germanistik Master, TU Dortmund","Durchschnittliche Evaluation: 2,0",,,,,2,,,,,,,,
Seminar,2019,-2022,Einfuehrung in die germanische Sprachwissenschaft,"Germanistik Bachelor, TU Dortmund","Durchschnittliche Evaluation: 1,65",2.29,1.8,1.44,1.25,1.47,,,,,,,,
Seminar,2019,-2021,"Zwei Sprachen, ein Gehirn: Bilingualismus und dessen Konsequenzen","Germanistik Master, TU Dortmund","Durchschnittliche Evaluation:  2,00",2.24,2,2.36,1.47,,,,,,,,,
Seminar,2012,,Language Acquisition and Processing,"Germanistik Bachelor, Georg-August-Universitaet Goettingen",Keine Evaluation verfuegbar,,,,,,,,,,,,,
Lecture,2018,,Should I Buy That? Comparing Media Claims with Scientific Evidence from Brain & Behavior Research,"Bachelor, verschiedene Studiengaenge, University of Maryland",Evaluation: 'I learned a lot from this course'- 3.03 (Disagree - 0 to Strongly Agree (4),,,,,,,,,,,,,
Lecture,2011,,Experimental Methods for Testing Language Comprehension,"Germanistik Bachelor, Georg-August-Universitaet Goettingen",Keine Evaluation verfuegbar,,,,,,,,,,,,,
Tutorial,2021, ,Eyetracking Statistical Analysis Tutorial,Methoden-Workshop mit TU Dortmund und TU Braunschweig (https://bookdown.org/katie_m_vonholzen/Eyetracking_Statistical_Analysis_Tutorial/),,,,,,,,,,,,,,
Tutorial,2017, ,Setting up and analyzing an eye-tracking experiment: From Open Sesame to Eyelink to R,"Doktorand:innen, Postdocs, und Profesur:innen, Universite Paris Descartes",,,,,,,,,,,,,,
Tutorial,2017, ,Time Course Analysis in R,"Doktorand:innen, Research Training Group 2070, Georg-August-Universitaet Goettingen",,,,,,,,,,,,,,
Tutorial,2016, ,EEG Pre-processing and Analysis Using EEGLAB and ERPLAB,"Doktorand:innen, Postdocs, und Profesur:innen, Universite Paris Descartes",,,,,,,,,,,,,,
